Method,0,1,2,3,4,5,6,7,8,9,Avg
cgs-petta,42.81,41.61,41.05,37.81,37.31,41.13,37.18,42.56,43.66,39.15,40.43
cgs-mytta-long,39.75,43.03,42.79,40.11,39.5,43.69,42.64,45.24,45.4,40.63,42.28
cgs-mytta-short,38.56,40.65,39.33,37.67,37.51,41.41,38.92,41.53,42.73,38.18,39.65
cgs-mytta-short-long,37.87,40.84,40.14,37.72,37.63,41.33,38.0,41.75,43.55,37.75,39.66
cgs-mytta-short-long-v2,38.67,42.13,40.55,38.02,37.81,41.71,38.79,43.09,43.44,39.56,40.38
